held,n_test,n_bank,n_class,proto,knn1,bal1,knn5,bal5,knn25,bal25,knn100,bal100
CRC,6447,90000,16,0.3042,0.2583,0.2583,0.2696,0.2741,0.2762,0.2794,0.2776,0.2802
UPMC,7879,90000,23,0.4127,0.3525,0.3525,0.3697,0.3779,0.3877,0.388,0.3907,0.3936
Keren,8000,90000,20,0.283,0.2513,0.2513,0.2633,0.2701,0.2652,0.2688,0.268,0.2688
ferguson,5402,90000,19,0.3942,0.3359,0.3359,0.3561,0.3531,0.3521,0.3526,0.3561,0.3561
Phillips,8000,90000,21,0.3455,0.3216,0.3216,0.3354,0.3404,0.3505,0.3526,0.3572,0.3588
Danenberg,4334,90000,41,0.0513,0.0533,0.0533,0.0549,0.0573,0.0588,0.0591,0.0617,0.0603
Sorin,7390,90000,23,0.4147,0.3047,0.3047,0.345,0.3493,0.3784,0.3809,0.3817,0.3808
